Name,Class,Role,Tier,Score,Trend,Win_Percetage,Role_Percetage,Pick_Percetage,Ban_Percetage,KDA
Kha'Zix,Assassin,JUNGLE,A,48.68,0,0.4979,0.9652,0.0429,0.0165,2.5
Kindred,Marksman,JUNGLE,B,44.26,0,0.4832,0.9544,0.0429,0.0463,2.16
Kled,Fighter,TOP,A,54.78,0,0.5273,0.9009,0.0242,0.0127,2.36
Kog'Maw,Marksman,ADC,C,35.71,0,0.5139,0.8654999999999999,0.0163,0.0034000000000000002,2.22
LeBlanc,Assassin,MID,B,45.83,0,0.46990000000000004,0.898,0.030899999999999997,0.0379,2.81
Lee Sin,Fighter,JUNGLE,God,88.46,0,0.4914,0.8755,0.1266,0.0492,2.72
Leona,Tank,SUPPORT,A,50.03,0,0.4962,0.9878,0.0449,0.037200000000000004,2.33
Lillia,Fighter,JUNGLE,B,47.89,0,0.5154,0.8695999999999999,0.027999999999999997,0.0138,2.87
Lissandra,Mage,MID,B,48.04,0,0.4938,0.9159,0.029500000000000002,0.0087,2.48
Lucian,Marksman,ADC,B,47.29,0,0.49119999999999997,0.9220999999999999,0.0851,0.0287,2.26
Lulu,Support,SUPPORT,God,70.18,0,0.4939,0.9776,0.091,0.0876,3.0
Lux,Mage,SUPPORT,God,90.45,0,0.5042,0.747,0.141,0.11539999999999999,2.49
Malphite,Tank,TOP,S,56.14,0,0.5099,0.7073,0.0365,0.025099999999999997,2.39
Malzahar,Mage,MID,B,48.29,0,0.4989,0.8983,0.0313,0.0335,2.28
Maokai,Tank,JUNGLE,God,96.36,0,0.5296,0.7475,0.08650000000000001,0.3035,2.92
Master Yi,Assassin,JUNGLE,S,61.6,0,0.49060000000000004,0.9146,0.0664,0.1543,2.03
Miss Fortune,Marksman,ADC,A,50.4,0,0.5019,0.8508,0.08810000000000001,0.0203,2.23
Mordekaiser,Fighter,TOP,God,68.62,0,0.5179,0.7351000000000001,0.0639,0.1307,1.92
Morgana,Mage,SUPPORT,God,70.52,0,0.5058,0.9109999999999999,0.0711,0.264,2.48
Nami,Support,SUPPORT,God,69.9,0,0.5022,0.9959,0.08990000000000001,0.0298,3.14
Nasus,Fighter,TOP,S,57.88,0,0.5108,0.787,0.04650000000000001,0.0417,1.95
Nautilus,Tank,SUPPORT,God,71.31,0,0.5096,0.9481999999999999,0.09519999999999999,0.0906,2.35
Neeko,Mage,MID,A,49.71,0,0.5178,0.5143,0.011899999999999999,0.004699999999999999,2.39
Nidalee,Assassin,JUNGLE,B,44.32,0,0.4765,0.8905,0.0393,0.0169,2.82
Nilah,Marksman,ADC,C,42.12,0,0.5324,0.958,0.024700000000000003,0.0404,2.19
Nocturne,Assassin,JUNGLE,A,50.0,0,0.5202,0.9153,0.0337,0.0199,2.58
Nunu,Tank,JUNGLE,A,52.48,0,0.5002,0.9177,0.0472,0.017,2.73
Olaf,Fighter,TOP,S,55.26,0,0.5253,0.8586,0.0338,0.0301,1.87
Orianna,Mage,MID,B,48.2,0,0.493,0.9066,0.021099999999999997,0.0016,2.75
Ornn,Tank,TOP,S,57.36,0,0.5158,0.9312999999999999,0.036000000000000004,0.0052,2.47
Pantheon,Fighter,MID,A,51.27,0,0.521,0.3043,0.022400000000000003,0.0196,2.37
Poppy,Tank,TOP,C,41.48,0,0.4891,0.46509999999999996,0.013999999999999999,0.0063,2.01
